Train Samples,Generation Size,Real Accuracy,GAN Accuracy,KDE Accuracy,GMM Accuracy
20,1000,0.8460365853658537,0.8460365853658537,0.8409552845528455,0.8704268292682927
50,1000,0.8597560975609756,0.8597560975609756,0.8384146341463414,0.8658536585365854
100,1000,0.842479674796748,0.842479674796748,0.8236788617886179,0.8653455284552846
200,1000,0.8556910569105691,0.8556910569105691,0.8257113821138211,0.8150406504065041
1000,1000,0.8816056910569106,0.8816056910569106,0.8785569105691057,0.8755081300813008
7872,1000,0.885670731707317,0.8861788617886179,0.885670731707317,0.885670731707317
20,10000,0.8460365853658537,0.8460365853658537,0.8490853658536586,0.8785569105691057
50,10000,0.8597560975609756,0.8597560975609756,0.8485772357723578,0.8882113821138211
100,10000,0.842479674796748,0.842479674796748,0.8216463414634146,0.8617886178861789
200,10000,0.8556910569105691,0.8556910569105691,0.7987804878048781,0.8140243902439024
1000,10000,0.8816056910569106,0.8816056910569106,0.8633130081300813,0.8541666666666666
7872,10000,0.885670731707317,0.8882113821138211,0.8841463414634146,0.8841463414634146
